incident_id,timestamp,agent_name,agent_type,task,tool,llm_model,error,root_cause,fix,severity,environment,status,team,department,response_time_ms,token_usage,cost_usd,user_impact,region,incident_duration_minutes,retry_count,customer_tier,sla_breached,workflow_id,agent_version,failure_category,business_impact
INC-100012,2025-08-30 20:11:23,ResearchAgent_2,ResearchAgent,Company Research,WebSearch,gpt-4o,Hallucination,Missing Context,Improve Retrieval,High,Production,Resolved,AI Platform,Product,10532,11703,0.3509,High,EU-Central,724,3,Enterprise,True,WF-1047,v1.2,Reasoning,High
INC-100013,2024-07-11 22:04:48,ComplianceAgent_4,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Timeout,Rate Limit,Retry Logic,High,Staging,Investigating,Compliance,Legal,9771,30947,0.5812,High,US-West,1023,2,Enterprise,True,WF-1043,v2.0,Performance,Customer Churn Risk
INC-100014,2025-10-01 04:16:49,ComplianceAgent_2,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Timeout,Rate Limit,Retry Logic,Medium,Production,Resolved,Compliance,Legal,5673,1908,0.0324,Medium,EU-West,147,3,Enterprise,True,WF-1030,v1.1,Performance,Operational Disruption
INC-100015,2025-03-10 22:03:04,ComplianceAgent_4,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Parsing Error,Malformed Document,Input Validation,High,Production,Resolved,Compliance,Legal,17446,3008,0.0814,High,US-East,629,4,Professional,True,WF-1034,v1.0,Data,High
INC-100016,2024-06-18 10:28:45,MonitoringAgent_2,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Connection Error,Network Issue,Connection Pooling,Low,Development,Resolved,MLOps,Operations,1326,8267,0.2252,Low,Middle East,21,2,Professional,False,WF-1069,v1.1,Infrastructure,Low
INC-100017,2025-04-20 10:00:48,PlanningAgent_3,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Production,Resolved,Business Intelligence,Product,2925,26712,0.1059,Medium,Middle East,202,3,Enterprise,True,WF-1053,v1.1,Prompting,Operational Disruption
INC-100018,2024-06-17 02:36:48,PlanningAgent_3,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,API Failure,Third Party Outage,Circuit Breaker,Medium,Production,Resolved,Business Intelligence,Product,6897,33880,0.152,Medium,Middle East,66,3,Free,False,WF-1056,v1.1,Infrastructure,Operational Disruption
INC-100019,2026-03-13 03:45:12,SupportAgent_3,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Retrieval Failure,Low Recall,Hybrid Search,Medium,Production,Resolved,Customer Success,Customer Support,7795,27260,0.8196,Medium,EU-Central,63,4,Enterprise,True,WF-1097,v1.0,Retrieval,Medium
INC-100020,2026-01-26 22:37:44,ReportingAgent_2,ReportingAgent,Report Generation,DataWarehouse,gemini-1.5-pro,API Failure,Third Party Outage,Circuit Breaker,Medium,Staging,Investigating,Data Engineering,Engineering,2940,3391,0.0136,Medium,EU-Central,223,4,Free,False,WF-1050,v1.0,Infrastructure,Medium
INC-100021,2024-10-19 08:10:08,ComplianceAgent_3,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Invalid Response,Poor Prompt Design,Prompt Optimization,Critical,Production,Investigating,Compliance,Legal,26976,31208,0.7069,Critical,APAC,8745,5,Professional,True,WF-1060,v3.0,Prompting,Operational Disruption
INC-100022,2025-02-25 14:45:58,SalesAgent_2,SalesAgent,Sales Lead Enrichment,CRM_API,gpt-4o,Authentication Error,Invalid Credentials,Rotate Secrets,Low,Production,Resolved,Business Intelligence,Sales,606,35499,0.5811,Low,EU-West,22,1,Free,False,WF-1100,v1.0,Authentication,Low
INC-100023,2024-11-17 23:58:10,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Production,Resolved,Data Engineering,Operations,4690,37828,0.1215,Medium,US-West,194,1,Professional,True,WF-1020,v1.1,Data,Medium
INC-100024,2024-06-23 04:21:24,DocumentAgent_2,DocumentAgent,Document Processing,DocumentParser,mistral-large,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Production,Resolved,AI Platform,Engineering,7063,30730,0.9413,Medium,EU-West,148,2,Enterprise,True,WF-1050,v1.1,Data,Operational Disruption
INC-100025,2026-03-16 10:59:47,PlanningAgent_1,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,API Failure,Third Party Outage,Circuit Breaker,Medium,Production,Investigating,Business Intelligence,Product,4605,29899,0.0888,Medium,US-East,128,2,Professional,True,WF-1051,v1.0,Infrastructure,Medium
INC-100026,2025-07-10 01:40:50,FinanceAgent_1,FinanceAgent,Financial Forecasting,SQLDatabase,gemini-1.5-pro,Connection Error,Network Issue,Connection Pooling,Medium,Staging,Resolved,Finance Analytics,Finance,2062,2133,0.0123,Medium,US-West,211,1,Enterprise,True,WF-1054,v1.1,Infrastructure,Operational Disruption
INC-100027,2025-01-06 16:17:30,FinanceAgent_1,FinanceAgent,Financial Forecasting,SQLDatabase,gemini-1.5-pro,Timeout,Rate Limit,Retry Logic,Low,Staging,Resolved,Finance Analytics,Finance,805,39896,0.2329,Low,Middle East,11,2,Professional,False,WF-1031,v1.1,Performance,Low
INC-100028,2024-10-11 21:30:44,ReportingAgent_3,ReportingAgent,Report Generation,DataWarehouse,gemini-1.5-pro,API Failure,Third Party Outage,Circuit Breaker,High,Development,Resolved,Data Engineering,Engineering,17700,19864,0.1058,High,US-West,737,2,Free,True,WF-1014,v1.1,Infrastructure,High
INC-100029,2026-02-20 19:57:25,ComplianceAgent_3,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Staging,Resolved,Compliance,Legal,5515,23836,0.6151,Medium,US-East,72,4,Professional,False,WF-1073,v1.1,Prompting,Operational Disruption
INC-100030,2025-09-29 21:07:11,MonitoringAgent_3,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Data Quality Issue,Missing Fields,Data Cleaning,Critical,Production,Investigating,MLOps,Operations,27707,16188,0.4714,Critical,EU-Central,5837,6,Enterprise,True,WF-1094,v1.2,Data,Compliance Risk
INC-100031,2024-09-13 01:42:18,PlanningAgent_4,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,API Failure,Third Party Outage,Circuit Breaker,Low,Development,Resolved,Business Intelligence,Product,1048,17031,0.0516,Low,EU-West,14,1,Free,False,WF-1032,v1.0,Infrastructure,Low
INC-100032,2026-02-17 01:36:30,SupportAgent_4,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,High,Production,Investigating,Customer Success,Customer Support,15342,19383,0.3638,High,Middle East,275,2,Professional,True,WF-1067,v1.1,Reasoning,High
INC-100033,2026-05-26 00:24:29,DocumentAgent_3,DocumentAgent,Document Processing,DocumentParser,mistral-large,Invalid Response,Poor Prompt Design,Prompt Optimization,High,Production,Resolved,AI Platform,Engineering,13023,8007,0.2183,High,EU-Central,754,3,Professional,True,WF-1075,v1.1,Prompting,High
INC-100034,2025-05-05 19:54:09,AnalyticsAgent_2,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Staging,Resolved,Data Engineering,Operations,3926,11859,0.0339,Medium,US-East,103,3,Free,False,WF-1098,v1.0,Data,Operational Disruption
INC-100035,2026-06-12 10:59:49,MonitoringAgent_2,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Connection Error,Network Issue,Connection Pooling,High,Production,Resolved,MLOps,Operations,15690,22428,0.4067,High,APAC,1220,5,Professional,True,WF-1006,v1.2,Infrastructure,Operational Disruption
INC-100036,2024-08-08 00:44:31,CodeAgent_1,CodeAgent,Python Execution,PythonTool,deepseek-r1,Execution Error,Missing Package,Install Dependency,Low,Development,Resolved,MLOps,Engineering,159,36986,0.2134,Low,Middle East,10,0,Enterprise,False,WF-1062,v1.1,Tooling,Low
INC-100037,2024-09-12 00:35:09,AnalyticsAgent_2,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Production,Investigating,Data Engineering,Operations,4001,40052,0.2331,Medium,APAC,190,1,Professional,True,WF-1098,v2.0,Data,Operational Disruption
INC-100038,2024-09-25 23:06:54,ComplianceAgent_2,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Parsing Error,Malformed Document,Input Validation,Medium,Staging,Resolved,Compliance,Legal,6364,2239,0.0424,Medium,EU-Central,165,3,Enterprise,True,WF-1034,v1.0,Data,Operational Disruption
INC-100039,2026-06-10 01:50:35,EmailAgent_2,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,API Failure,Third Party Outage,Circuit Breaker,Medium,Staging,Resolved,Customer Success,Operations,5961,17508,0.0914,Medium,EU-Central,102,2,Free,False,WF-1059,v2.1,Infrastructure,Medium
INC-100040,2024-08-28 17:43:15,FinanceAgent_3,FinanceAgent,Financial Forecasting,SQLDatabase,gemini-1.5-pro,Connection Error,Network Issue,Connection Pooling,High,Production,Resolved,Finance Analytics,Finance,16847,5371,0.0225,High,EU-West,1251,5,Enterprise,True,WF-1040,v1.1,Infrastructure,Customer Churn Risk
INC-100041,2025-09-02 03:17:06,CodeAgent_1,CodeAgent,Python Execution,PythonTool,deepseek-r1,Timeout,Rate Limit,Retry Logic,Medium,Staging,Resolved,MLOps,Engineering,5751,18329,0.0425,Medium,US-West,211,4,Professional,True,WF-1004,v3.0,Performance,Medium
INC-100042,2026-02-06 07:25:11,EmailAgent_4,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,API Failure,Third Party Outage,Circuit Breaker,Medium,Staging,Investigating,Customer Success,Operations,5558,36151,0.0602,Medium,EU-Central,118,4,Enterprise,True,WF-1063,v1.0,Infrastructure,Operational Disruption
INC-100043,2024-09-15 03:00:03,DocumentAgent_1,DocumentAgent,Document Processing,DocumentParser,mistral-large,Data Quality Issue,Missing Fields,Data Cleaning,High,Production,Resolved,AI Platform,Engineering,16167,13440,0.2626,High,APAC,1145,2,Professional,True,WF-1015,v1.2,Data,Operational Disruption
INC-100044,2024-10-29 02:02:11,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Connection Error,Network Issue,Connection Pooling,High,Production,Resolved,Data Engineering,Operations,8224,6208,0.0156,High,EU-West,1371,5,Enterprise,True,WF-1090,v3.0,Infrastructure,Operational Disruption
INC-100045,2024-10-11 08:21:01,SupportAgent_4,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Retrieval Failure,Low Recall,Hybrid Search,Low,Development,Resolved,Customer Success,Customer Support,900,16073,0.3659,Low,Middle East,31,1,Professional,False,WF-1083,v2.1,Retrieval,Low
INC-100046,2024-11-12 05:30:56,MonitoringAgent_2,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Connection Error,Network Issue,Connection Pooling,Medium,Production,Resolved,MLOps,Operations,3688,19666,0.575,Medium,EU-West,45,3,Enterprise,True,WF-1077,v2.0,Infrastructure,Operational Disruption
INC-100047,2026-01-31 09:22:37,PlanningAgent_3,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,API Failure,Third Party Outage,Circuit Breaker,Medium,Development,Resolved,Business Intelligence,Product,3456,15406,0.0825,Medium,US-West,191,4,Enterprise,True,WF-1058,v1.0,Infrastructure,Operational Disruption
INC-100048,2025-08-10 17:08:19,CodeAgent_4,CodeAgent,Python Execution,PythonTool,deepseek-r1,Memory Overflow,Large Context Window,Context Compression,Critical,Production,Open,MLOps,Engineering,20068,44719,0.2421,Critical,EU-Central,9669,8,Free,True,WF-1061,v1.1,Performance,Revenue Loss
INC-100049,2025-09-09 19:10:48,EmailAgent_2,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,API Failure,Third Party Outage,Circuit Breaker,High,Production,Resolved,Customer Success,Operations,14512,35071,0.1126,High,EU-West,404,4,Professional,True,WF-1059,v1.1,Infrastructure,Customer Churn Risk
INC-100050,2025-05-07 14:22:14,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Low,Staging,Resolved,Data Engineering,Operations,515,6551,0.0322,Low,Middle East,6,1,Professional,False,WF-1098,v1.2,Data,Low
INC-100051,2026-06-06 19:12:32,SupportAgent_1,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Authentication Error,Invalid Credentials,Rotate Secrets,High,Production,Resolved,Customer Success,Customer Support,12000,37188,0.9889,High,EU-Central,1327,5,Free,True,WF-1089,v1.0,Authentication,Customer Churn Risk
INC-100052,2024-12-17 21:44:19,SalesAgent_2,SalesAgent,Sales Lead Enrichment,CRM_API,gpt-4o,Timeout,Rate Limit,Retry Logic,High,Production,Resolved,Business Intelligence,Sales,12183,18950,0.5025,High,EU-West,259,5,Professional,True,WF-1079,v1.1,Performance,High
INC-100053,2024-11-24 18:14:20,AnalyticsAgent_4,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Connection Error,Network Issue,Connection Pooling,High,Production,Resolved,Data Engineering,Operations,11886,23624,0.0965,High,EU-Central,1021,6,Free,True,WF-1045,v1.2,Infrastructure,Customer Churn Risk
INC-100054,2026-06-03 02:17:55,EmailAgent_1,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,Authentication Error,Invalid Credentials,Rotate Secrets,High,Production,Investigating,Customer Success,Operations,16138,39884,0.2038,High,APAC,826,3,Enterprise,True,WF-1085,v1.1,Authentication,Operational Disruption
INC-100055,2025-01-27 14:43:41,SupportAgent_2,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,Critical,Production,Investigating,Customer Success,Customer Support,27495,8712,0.144,Critical,EU-Central,7417,9,Free,True,WF-1033,v1.2,Reasoning,Compliance Risk
INC-100056,2025-04-15 03:26:42,DocumentAgent_3,DocumentAgent,Document Processing,DocumentParser,mistral-large,Parsing Error,Malformed Document,Input Validation,High,Staging,Investigating,AI Platform,Engineering,13549,5034,0.0876,High,EU-Central,475,5,Professional,True,WF-1023,v1.1,Data,Customer Churn Risk
INC-100057,2025-02-03 06:01:08,ComplianceAgent_4,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Parsing Error,Malformed Document,Input Validation,Low,Development,Resolved,Compliance,Legal,1427,38409,0.8249,Low,EU-Central,44,1,Professional,False,WF-1072,v1.0,Data,Low
INC-100058,2026-04-01 05:04:28,ComplianceAgent_3,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Timeout,Rate Limit,Retry Logic,Medium,Production,Resolved,Compliance,Legal,6818,9260,0.146,Medium,Middle East,149,1,Professional,True,WF-1030,v2.1,Performance,Operational Disruption
INC-100059,2024-07-25 02:37:52,DocumentAgent_2,DocumentAgent,Document Processing,DocumentParser,mistral-large,Parsing Error,Malformed Document,Input Validation,Low,Development,Resolved,AI Platform,Engineering,1156,10226,0.3073,Low,Middle East,27,2,Enterprise,True,WF-1015,v1.1,Data,Low
INC-100060,2026-04-17 19:09:17,ComplianceAgent_3,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Timeout,Rate Limit,Retry Logic,Medium,Staging,Resolved,Compliance,Legal,7117,4068,0.0886,Medium,EU-West,139,3,Free,False,WF-1079,v1.0,Performance,Medium
INC-100061,2024-12-27 19:59:50,EmailAgent_2,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,API Failure,Third Party Outage,Circuit Breaker,Low,Development,Resolved,Customer Success,Operations,733,37100,0.0899,Low,US-East,16,0,Free,False,WF-1059,v1.2,Infrastructure,Low
INC-100062,2026-01-04 23:05:31,ComplianceAgent_2,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Timeout,Rate Limit,Retry Logic,High,Production,Resolved,Compliance,Legal,12106,1789,0.0308,High,US-West,597,2,Enterprise,True,WF-1030,v2.0,Performance,Operational Disruption
INC-100063,2025-06-18 00:12:45,PlanningAgent_1,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Production,Resolved,Business Intelligence,Product,7873,29722,0.112,Medium,EU-Central,137,1,Professional,True,WF-1003,v1.0,Prompting,Medium
INC-100064,2026-03-07 17:07:42,EmailAgent_4,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,Authentication Error,Invalid Credentials,Rotate Secrets,Low,Staging,Resolved,Customer Success,Operations,923,32230,0.1517,Low,EU-Central,44,0,Professional,False,WF-1085,v1.2,Authentication,Low
INC-100065,2025-09-13 18:13:31,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Connection Error,Network Issue,Connection Pooling,Medium,Development,Resolved,Data Engineering,Operations,5846,33231,0.1404,Medium,EU-Central,120,4,Enterprise,True,WF-1042,v1.0,Infrastructure,Operational Disruption
INC-100066,2024-09-25 19:42:55,MonitoringAgent_2,MonitoringAgent,KPI Monitoring,MonitoringAPI,gpt-4o,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Development,Resolved,MLOps,Operations,7476,28068,0.5701,Medium,EU-Central,69,3,Professional,False,WF-1084,v1.1,Data,Operational Disruption
INC-100067,2025-03-05 05:10:39,SupportAgent_1,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,Low,Development,Resolved,Customer Success,Customer Support,316,38534,1.2047,Low,Middle East,36,0,Professional,False,WF-1088,v1.0,Reasoning,Low
INC-100068,2026-01-13 03:33:06,PlanningAgent_4,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Staging,Open,Business Intelligence,Product,6234,10240,0.0456,Medium,EU-West,174,2,Free,False,WF-1053,v2.0,Prompting,Operational Disruption
INC-100069,2025-01-31 19:29:23,ComplianceAgent_3,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Parsing Error,Malformed Document,Input Validation,High,Production,Investigating,Compliance,Legal,17121,17627,0.2731,High,APAC,293,6,Enterprise,True,WF-1072,v1.1,Data,High
INC-100070,2025-03-23 02:47:58,ComplianceAgent_2,ComplianceAgent,Compliance Review,OCR_Service,claude-3.5-sonnet,Parsing Error,Malformed Document,Input Validation,Low,Development,Resolved,Compliance,Legal,1346,34865,0.6505,Low,US-West,2,0,Enterprise,False,WF-1045,v1.1,Data,Low
INC-100071,2025-08-20 08:03:59,EmailAgent_3,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,API Failure,Third Party Outage,Circuit Breaker,High,Production,Resolved,Customer Success,Operations,8815,29139,0.1305,High,US-West,407,4,Free,True,WF-1048,v2.0,Infrastructure,Operational Disruption
INC-100072,2025-10-27 13:39:09,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Production,Resolved,Data Engineering,Operations,4026,26003,0.1542,Medium,APAC,56,2,Enterprise,True,WF-1035,v1.0,Data,Operational Disruption
INC-100073,2024-08-11 15:49:46,DocumentAgent_3,DocumentAgent,Document Processing,DocumentParser,mistral-large,Parsing Error,Malformed Document,Input Validation,Medium,Production,Resolved,AI Platform,Engineering,4614,32885,0.8056,Medium,US-West,181,2,Free,False,WF-1028,v1.0,Data,Operational Disruption
INC-100074,2026-05-02 04:26:40,ResearchAgent_1,ResearchAgent,Company Research,WebSearch,gpt-4o,Hallucination,Missing Context,Improve Retrieval,Low,Production,Resolved,AI Platform,Product,929,27473,0.5473,Low,EU-West,37,1,Enterprise,True,WF-1095,v1.1,Reasoning,Low
INC-100075,2025-08-04 16:18:32,SupportAgent_4,SupportAgent,Customer Support,VectorDB,claude-3.5-sonnet,Hallucination,Missing Context,Improve Retrieval,High,Development,Resolved,Customer Success,Customer Support,17648,5254,0.1142,High,US-West,1060,6,Professional,True,WF-1022,v2.0,Reasoning,Operational Disruption
INC-100076,2025-04-30 03:54:39,SalesAgent_1,SalesAgent,Sales Lead Enrichment,CRM_API,gpt-4o,Authentication Error,Invalid Credentials,Rotate Secrets,Medium,Production,Resolved,Business Intelligence,Sales,2709,9697,0.1877,Medium,Middle East,105,1,Enterprise,True,WF-1100,v1.1,Authentication,Operational Disruption
INC-100077,2024-12-11 13:28:56,AnalyticsAgent_2,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,High,Production,Resolved,Data Engineering,Operations,17248,9993,0.0348,High,APAC,901,4,Professional,True,WF-1098,v3.0,Data,High
INC-100078,2025-10-10 07:39:00,PlanningAgent_3,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,Medium,Staging,Resolved,Business Intelligence,Product,2128,40405,0.1686,Medium,EU-West,210,1,Professional,True,WF-1036,v1.1,Prompting,Medium
INC-100079,2025-07-15 08:23:47,EmailAgent_2,EmailAgent,Email Generation,SMTP_API,gpt-4.1-mini,Timeout,Rate Limit,Retry Logic,High,Production,Resolved,Customer Success,Operations,13626,11408,0.0191,High,EU-Central,412,6,Free,True,WF-1095,v1.0,Performance,Operational Disruption
INC-100080,2026-06-11 07:29:16,PlanningAgent_2,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,High,Development,Resolved,Business Intelligence,Product,8857,21706,0.0418,High,Middle East,925,2,Enterprise,True,WF-1068,v1.1,Prompting,Customer Churn Risk
INC-100081,2026-05-12 05:37:26,SalesAgent_3,SalesAgent,Sales Lead Enrichment,CRM_API,gpt-4o,Authentication Error,Invalid Credentials,Rotate Secrets,High,Production,Open,Business Intelligence,Sales,14421,5652,0.1145,High,Middle East,504,6,Enterprise,True,WF-1093,v1.0,Authentication,Customer Churn Risk
INC-100082,2025-07-07 14:58:42,AnalyticsAgent_1,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Staging,Resolved,Data Engineering,Operations,3254,12683,0.032,Medium,EU-West,132,4,Free,False,WF-1017,v1.2,Data,Operational Disruption
INC-100083,2024-11-03 21:11:27,ReportingAgent_1,ReportingAgent,Report Generation,DataWarehouse,gemini-1.5-pro,API Failure,Third Party Outage,Circuit Breaker,Critical,Production,Investigating,Data Engineering,Engineering,20658,41042,0.211,Critical,EU-Central,4402,10,Free,True,WF-1013,v1.2,Infrastructure,Operational Disruption
INC-100084,2024-12-03 07:29:05,PlanningAgent_2,PlanningAgent,Market Analysis,LLM_API,gpt-4.1,Invalid Response,Poor Prompt Design,Prompt Optimization,High,Production,Investigating,Business Intelligence,Product,11918,12815,0.0404,High,US-West,873,5,Enterprise,True,WF-1047,v3.0,Prompting,Customer Churn Risk
INC-100085,2026-01-22 07:35:28,DocumentAgent_4,DocumentAgent,Document Processing,DocumentParser,mistral-large,Invalid Response,Poor Prompt Design,Prompt Optimization,High,Production,Investigating,AI Platform,Engineering,15873,6823,0.1849,High,EU-West,1000,6,Free,True,WF-1037,v3.0,Prompting,Operational Disruption
INC-100086,2025-11-26 20:05:20,AnalyticsAgent_4,AnalyticsAgent,Data Extraction,DataWarehouse,llama-3.3-70b,Data Quality Issue,Missing Fields,Data Cleaning,Medium,Production,Resolved,Data Engineering,Operations,1718,26082,0.098,Medium,EU-Central,151,1,Professional,True,WF-1098,v2.1,Data,Medium
